DEP_LON,DEP_LAT,DEP_TIME,DEST_LON,DEST_LAT,DEST_TIME,DRIVE_MILE,PRICE,IS_ANOMALY,DRIVE_TIME,hr,WEEKEND,isWeekend,isLong,isTime,Manhattan,operateSpeed,isPeakTime
0.000118750219,3.2089548e-05,2023-03-25 07:13:00,0.000118828011,3.2080151e-05,2023-03-25 07:34:00,9.0,28.0,0,21.0,7,5,1,1,0,8.718900000000477e-08,0.42857142857142855,1
0.00011862739,3.2064432e-05,2023-03-25 16:56:00,0.000118632278,3.208373e-05,2023-03-25 17:03:00,3.03,10.0,0,7.0,16,5,1,1,1,2.4186000000000585e-08,0.43285714285714283,1
0.000118987185,3.2084088e-05,2023-03-25 14:15:00,0.000119000934,3.207313e-05,2023-03-25 14:23:00,5.35,13.0,0,8.0,14,5,1,1,0,2.470700000000586e-08,0.66875,0
0.000118763014,3.2077013999999996e-05,2023-03-25 18:36:00,0.000118779491,3.2038611000000005e-05,2023-03-25 19:04:00,5.41,23.0,0,28.0,18,5,1,1,0,5.487999999999023e-08,0.19321428571428573,1
0.000118783939,3.2073634e-05,2023-03-25 06:25:00,0.000118864464,3.2043038e-05,2023-03-25 06:42:00,11.82,30.0,0,17.0,6,5,1,1,0,1.1112099999998352e-07,0.6952941176470588,0
0.000118810369,3.2030017e-05,2023-03-25 20:58:00,0.000118753173,3.204169e-05,2023-03-25 21:20:00,7.26,21.0,0,22.0,20,5,1,1,0,6.886899999999034e-08,0.33,0
0.000118860755,3.1762543000000004e-05,2023-03-25 17:12:00,0.000118828991,3.1755711e-05,2023-03-25 17:20:00,5.32,16.0,0,8.0,17,5,1,1,0,3.859599999999898e-08,0.665,1
0.000118836223,3.1922568e-05,2023-03-25 12:49:00,0.000118859351,3.1935573e-05,2023-03-25 12:57:00,3.5,10.0,0,8.0,12,5,1,1,0,3.6133000000001505e-08,0.4375,0
0.00011882127199999999,3.1930886e-05,2023-03-25 22:16:00,0.000118791793,3.1918306e-05,2023-03-25 22:23:00,4.1,11.0,0,7.0,22,5,1,1,1,4.205899999999187e-08,0.5857142857142856,0
0.000118903203,3.2086956e-05,2023-03-25 21:09:00,0.00011882558400000001,3.1919713e-05,2023-03-25 21:42:00,25.7,64.0,0,33.0,21,5,1,3,0,2.448619999999841e-07,0.7787878787878788,0
0.000118696274,3.2157933e-05,2023-03-25 18:18:00,0.000118711753,3.2186746e-05,2023-03-25 18:28:00,4.47,14.0,0,10.0,18,5,1,1,0,4.42919999999868e-08,0.44699999999999995,1
0.00011884962299999999,3.2017943e-05,2023-03-25 14:58:00,0.000118788601,3.2035213e-05,2023-03-25 15:23:00,7.4,23.0,0,25.0,14,5,1,1,0,7.829199999998682e-08,0.29600000000000004,0
0.000118649104,3.2066494e-05,2023-03-25 16:27:00,0.000118653657,3.2096424e-05,2023-03-25 16:36:00,4.55,13.0,0,9.0,16,5,1,1,0,3.44829999999945e-08,0.5055555555555555,1
0.000118827421,3.1956584e-05,2023-03-25 02:16:00,0.00011887065,3.1940144e-05,2023-03-25 02:29:00,5.4,17.0,0,13.0,2,5,1,1,0,5.96689999999905e-08,0.4153846153846154,0
0.000118773311,3.2038891e-05,2023-03-25 20:00:00,0.000118784096,3.2073803e-05,2023-03-25 20:16:00,4.95,16.0,0,16.0,20,5,1,1,0,4.5697000000003774e-08,0.309375,0
0.00011889391799999999,3.188718e-05,2023-03-25 17:07:00,0.000118914087,3.1897832e-05,2023-03-25 17:15:00,5.14,30.0,0,8.0,17,5,1,1,0,3.082100000000395e-08,0.6425,1
0.000118758972,3.1909226e-05,2023-03-25 13:50:00,0.00011876264299999999,3.1963152e-05,2023-03-25 14:14:00,8.8,26.0,0,24.0,13,5,1,1,0,5.7596999999995986e-08,0.3666666666666667,0
0.000118818974,3.1930178e-05,2023-03-25 20:41:00,0.0001188206,3.1964568e-05,2023-03-25 20:51:00,4.81,29.0,0,10.0,20,5,1,1,0,3.601600000000823e-08,0.481,0
0.000118744251,3.2056876e-05,2023-03-25 18:20:00,0.000118784471,3.2047613e-05,2023-03-25 18:36:00,5.31,18.0,0,16.0,18,5,1,1,0,4.9483000000000285e-08,0.331875,1
0.000118780805,3.2095152e-05,2023-03-25 16:27:00,0.000118809101,3.2105133e-05,2023-03-25 16:37:00,3.49,12.0,0,10.0,16,5,1,1,0,3.8276999999992925e-08,0.34900000000000003,1
0.00011877947,3.1977945e-05,2023-03-25 13:02:00,0.000118708152,3.1981679e-05,2023-03-25 13:12:00,9.32,21.0,0,10.0,13,5,1,1,0,7.505199999999733e-08,0.932,0
0.00011871451000000001,3.2102668e-05,2023-03-25 12:29:00,0.000118797561,3.2039542e-05,2023-03-25 13:26:00,19.1,57.0,1,57.0,12,5,1,2,0,1.4617699999999235e-07,0.33508771929824566,0
